レス番号,内容
23,これが確定と言う事ならホリの出来る範囲で頑張ったと見て良いのかな 欲を言えば右SBの補強が欲しかったけどね
24,右SB兼まだまだ薄手のCBの控えとして橋岡欲しいとこなんだけどな たぶん水面下で動いてそうな気もするがルートンタウンと本人に復帰の意思があるかどうか 来年のW杯出場考えたら試合に出れる所に行かなきゃどうにもならんし
25,ダニーロ・ボザ フルネーム Danilo Boza Júnior 生年月日(年) May 6 1998(26) 身長 185 m 国籍 ブラジル ポジション Defender CentreBack 利き足 右 所属 Esporte Clube Juventude 契約 Dec 31 2025 市場価値 150Mill tps 2024 全国選手権(セリエA) 32試合3G1A 黄紙2 出場2832 2023 全国選手権(セリエB) 38試合2G1A 黄紙1 出場3389 2022 全国選手権(セリエB) 17試合0G0A 黄紙2 出場1248 2021 全国選手権(セリエA) 22試合0G1A 黄紙2 出場1455 2020 全国選手権(セリエD) 20試合4G0A 黄紙5 2枚目退場1 出場1764 2019 全国選手権(セリエB) 0試合0G0A 出場0 201819 ポルトガル2部 9試合0G0A 出場736 tps
26,ええやん
27,てかCBで黄紙少ないのも凄いな
28,西野が今年獲得したコロンビア人DFは1シーズンだけで17枚も黄紙もらってて草
29,1シーズンでカード17枚草 どんなプレーしたらそんな事になるのか
30,ビルドアップ能力ありそうなのは戦術的には求めてるタイプな感じだね 一応記事には右SBもやれる的なこと書いてあるけどどうなんだろ
31,正直去年の夏に取る選手だったろとは思う まあ取れるなら最低限か あとSBはよ
32,足速いのはいいな JリーグのCBは足遅いと辛い
33,足速いのは良いな ライン上げられる あとはマリウスとのコミュニケーションだが
34,バスコのディフェンダーダニーロ・ボザが世界最速選手の一人に
35,スピード自信あるのか 36キロってJリーグだと誰くらい
36,調べたら去年のデータでトップタイで ガンバの山下と当時鹿島の藤井の354の上
37,ほう 計測がブラジルと日本だとズレありそうだが 足は自慢の快速ぽいな
38,松尾で去年の記録だと347 36だとJナンバーワンの数字になるね
39,すげえスペック高そうな選手だが ちょっと遅咲きぽいのはなんでだろな
40,ダニーロボザが前に進みたくても バックパス横パスを繰り返す西川マリウス石原安居にビックリするだろうな
41,スペック的には弱点がないなダニーロボザ ボールはちょっと持ちすぎかもしれない 西川マリウス安居が下手くそだから 上手く反応できないかもな
42,今のところポジ要素しかないな ただ本当にそんなスーパーな選手ならこの年齢までヨーロッパ行ってない筈ないとも思うが 脚の速さ意外は多少割り引いて考えてもいいかもしれん
43,ブラジル1部で活躍したのは2023年からだから 微妙な可能性もあるな 遅咲きならいいが
44,怪しそうだけど大丈夫
45,前にフィード蹴るタイプなのに パス成功数91もあるやんけ
46,地上戦の数値低すぎる
47,地上の対人が超苦手だが空中戦は超得意みたいだな
48,データの見方間違ってる パーセンタイルというのは全選手中で何パーセントかという順位で13になっているのは地上戦回数 地上戦は主に中盤で発生するのでCBは数値が低くなるという数字のマジックにすぎない 割合で確認してみれば69戦42勝だから勝率は60強 32試合やってドリブルで抜かれた回数4回だけなのでかなり硬いよ
49,ダニーロのプレー集見てフィードが既視感あるなと思ったら航だわ 航のフィードを思い出した サヴィオ金子松尾と相性良さそう
50,ダニーロとれれば今冬全体で80点はあげられるかも 右SBで90点 CFで100点
51,ダニーロボザのここ2年のプレー集とスタッツは申し分ないんだが 何故今まで頭角を出さなかったのか気になる ポルトガルで失敗してるし 大事なのは今だからいいんだけど ポカミス多い系なのかも
52,ダニーロボザのプレイ動画観たけどプレス受けてもかわせるしドリブルやワンツーでどんどん前に持っていけるね 日本ならこれくらい足元上手ければボランチで考えたくなるレベル新潟とか鹿島に居たレオシルバのDF版って感じがする
53,ダニーロボザブラジル一部でバリバリ稼働してるん
54,全国選手権32試合だからほぼフル出場やろ たしかいまの全国選手権は20チームのHA総当りで38試合だったはず
55,一部は今季からで主力 ただそれまでは二部みたいだな 今が登り始めなら良いな
1,勝ったー
2,きつかったわ
3,結果がすべてやナイス
4,いよおおおおおおおおおおおし でかい1勝
5,スケリーにMOTMをあげたい
6,ノースロンドンフォーエバー
7,よしよしよし ナイス逃げ切り 次も勝ってリバポ追うぞ全然チャンスあるぜ
8,いよっしゃー 今のチーム状況でノーロン2タテは素晴らしい
9,チームとして一つキッカケになるダービーでしっかり逆転して勝ったんだからこっからだぞマジでチームのメンタルと自信を取り戻してくれ
10,よーしよし 次はヴィラかきっちー
11,スケリーが良すぎるなぁ カラフィオーリが復帰してもスタメンで見たいわ 交代時のパフォーマンスでさらに好きになった笑
12,お互いヘトヘト 内容なんかしらん結果が全て
13,勝てたから良かったけどカイのところの層がな カイを休めさせられないのはきつい
14,正直5点は取れた試合だったけど勝って3pが重要 4バック特にガブリエルと両SBの強さが際立ってた
15,いやぁまず勝利おめでとう だけどみんなシュート下手になったわw シュート練習もっとやれw
16,サカホワイトウデゴの流動性のある右からの攻撃が恋しいわ マジではよ帰ってきてくれ
17,サカの次のスターボーイになる気がする 天性の身体の強さとバランスあるし
18,スケリーはそれに加えてボール持てるのがデカい プレッシャー受けても失わないキープ力 あれは普通のSBが持ってない能力だわ
19,元々アンカーだからね 身体能力も高いし現代のSBにピッタリだわ
20,アウェーのダービー4連勝って無敗の頃でもなかったぞ 2022年以降全部勝ち点3取ってるホームなら15年負けてないし
21,トッテナムは降格圏のほうが近いなw
22,ウデゴもカイも本当に戦ってるのはわかるからフィニッシュもやり切って報われてほしい
23,控えいなくてボロボロだな前線 これ以上怪我人出さないためにも補強せんと それでなくてもシュート下手なやつばっかなのに 疲労で足元覚束無いし判断鈍ってるしでダメダメだ
24,次も中2日で試合かよ 選手殺す気やんもっと試合間隔あけてやれよ
25,次どころか2月の頭までこのペースだ12月の中旬あたりからずっとマジで選手殺す気だよ
26,トッテナムも大概酷かったわ ベリヴァルが空けたスペースを埋める人いないしジョンソンは全部適当すぎて草生える
27,ヘロヘロのハヴァーツがまったく休めなくてどんどんコンディションが落ちる悪循環 ユースからあげて少しは休ませてくれ
28,カビアはカラバオ3回戦ですら微妙だったしオイデジエドワースはトップチーム出場0 これじゃティアニーやチェンコをWGで使うのはしょうがない
29,下手したら本職じゃないドーマンがユースで1番まともな右ウィングだしね
30,でもPLに出場できないんだよなあ規定で
31,ティアニー一個前はあくまで逃げ切り用の使い方だし きついな
32,ティアニーチェンコ使ってでもトロのプレータイム管理しなきゃいけない苦しい台所事情だったな 今日観にきてるんだろジョシュ頼むぞ
33,カイは病み上がりから連戦で調子落ちまくり 判断最悪で頭回ってない
34,トロサールゴールは決めたけど 苦しすぎるなぁあんな簡単にボールロストしてたら ちょっとね点決めたからすべておkとはさすがにならんかなぁ・・・
35,トロサールのゴールはスカッとしたけどロスト増えまくりでもうきついな
36,ハヴァーツはマジで休ませるタイミングないんだよなジェズス離脱までは休ませつつ使ってたけど病み上がりからフル稼働しないと回らない ヌワネリ復帰してもCFできる奴が根本的にいないからなワンチャンでネッリぐらいだけど収までって形は難しいしな
37,後半疲れてきたとき 相手陣地からのリスタートのプレスの掛け方あぶなかったわ 簡単に剥されてドリブルで運ばれてDFラインが曝されすぎた あれは修正してほしかったな
38,バックスは冬はもうこれ以上無いよ 前線はトロトップにしないとカイ休めないんだからな
39,ティアニーを干し続けてたのは正解だったんだろうかと思うプレーぶりだった
40,まあ怪我がね
41,ライスのインタビューでもスケリーについてめっちゃ聞かれてるな笑
42,April 2024 Tottenham 23 Arsenal Man of the Match Gabriel Magalhães September 2024 Tottenham 01 Arsenal Man of the Match Gabriel Magalhães January 2025 Arsenal 21 Tottenham Man of the Match Gabriel Magalhães ノーロンの鬼マガリャン
43,マルティネッリトロサールハヴァーツの並びの方がまだいいと思うけど ジェズスの右WGといいアルテタはしねぇんだよな マルティネッリは器用じゃないから本来の左にしてあげた方がいいし トロサールが1番キック上手いからゴールから遠ざけるより中の方がいいし ハヴァーツはファーストターゲットにするより後から飛び込ませてあげて欲しいし
44,マジでターンオーバー人員確保が急務過ぎる ホワイト冨はよ復活してくれ
45,ホワイト冨安はリハビリ最終段階って感じだけど まだフリトレ復帰には1週間は必要かなぁと
46,60分マルティネッリを休ませただけでもスターリングは価値がある選手 スペンス経由でビルドアップ出来ないのを見越してスタメンで出したアルテタの名采配だよ
47,スターリングは守備でサボることはなくなっていたからまだ使える あとはティンバーやウデゴとうまく連携できれば 正直単独突破はスペンス相手にもできなくなっていたから衰えかな
48,あと普通にスケリーは身体能力高いよな ユース時代はそれ故に身体がついて来れず怪我多かったけど
49,ヴィラ戦もスターリングスタートの途中でマルorトロだろうね 判断がちょくちょく気になる場面はあったけど頑張ってもらわねば ティンバー使い詰めなのが心配冨安はよ帰ってきてくれ
50,それにしても鳴り物入りで獲得したカラフィオーリが怪我の間にスタメン獲得しそうなスケリーは ドビュッシーとベジェリンを思い出させる まぁカラフィオーリが腐る事にはならないだろうが
51,そこまで歳は離れてないけどね なんかのインタビューでベジェリンはスタメン争いやる気満々だったけどドビュッシーは大人な受け答えしてたのが記憶に残ってる
52,とりあえず1つ目の山場を越えられて良かった あとは補強がどうなるか
1,ユルゲン・クロップ氏がRB大宮アルディージャの今季開幕戦を現地観戦する見通しとなった ドルトムントでブンデスリーガ連覇やDFBポカール優勝リヴァプールではプレミアリーグ優勝やチャンピオンズリーグ制覇も成し遂げたクロップ氏昨季限りでリヴァプールを退団するとレッドブル・グループのグローバルフットボール責任者に就任したことが先日に発表された 今季にJ2に昇格した大宮との関わりも注目される中レッドブル公式はクロップ氏が大宮の開幕節を現地観戦すると報告フットボール本部長を務める原博実氏はX上での報告を引用し待ってますよと投稿した 大宮は2月15日に行われる明治安田J2リーグ第1節でモンテディオ山形をホームに迎える
2,クロップだけ見に行きたい
3,ライプツィヒの試合にも来てたし仕事してるな シェシュコのゴラッソを生で見たの羨ましい
4,マイクパフォーマンスとかあるのかな
5,クロップ見れるなら関西からでも行きたい
6,スーパードライを飲みながら大宮ステーキ丼とウィンナー盛り合わせナクスタカレーを頬張るクロップの姿が
7,香川の試合も観に行こう
8,クロップのサインほしいな
9,初来日かな ドルが来日した時は監督もうトゥヘルに変わってたよね
10,日本代表監督になってほしいわぁ
11,試合が終わったらクロップを胴上げだー
12,マジか ちょっとヤバ過ぎる
13,大宮はJリーグにおける黒船襲来でありこの外圧により全体が激震するだろう そしてそれははJリーグが文化として日本に根付く契機になるだろう
14,山形に勝ったら昇格ある そこまで甘くないと思うが
15,監督はもうやらないって断言してたな
16,疲れ果ててそんなこと言ってるんだろうけど少し休んだらまた修羅場に戻りたくなるだろうね
17,もしも次に監督するならドイツ代表監督かバルサかレアルしか選択肢もないしな 現実的なところだとドイツ代表くらいしかなさそう
18,J2に昇格したってことはもっと下だったの
19,昨シーズンはJ3
20,クロップ来るのか
21,クラブスタッフになるとかならビビるが 来場するだけじゃなあ
22,日本のアンフィールドへようこそクロップ氏がJ2開幕戦を現地観戦へ レッドブル・ジャパンが15日に公式X(旧ツイッター)を更新し ユルゲン・クロップ氏がレッドブル傘下となったRB大宮アルディージャのJ2開幕戦を現地観戦すると伝えた
23,大宮nack5がリヴァプールアンフィールドなら浦和はエヴァートンで埼スタはグディソンかよ そりゃそうなるよな
24,あんな小さなスタジアムが日本のアンフィールドって
25,全然大宮サポじゃないけどクロップみにナクスタ行こうかな
26,ケンユーが見つかっちまうか
27,クロップもあの歩道もないような横ビュンビュン車が通るところ歩いてNACK5行くのか
28,ピッチに降りて軽く挨拶と拳突き上げイエアイエアイエアしてほしいよな 大宮サポができるか微妙だけど
29,なんでクロップが大宮駅から徒歩でNACK5スタジアム行くんだよw
30,蒙古タンメン食ってナック5の傾斜で転がってマンキツするだろクロップも
1,フォーデンきたー
2,きたあああああああああああ
3,フォーデンやったーーーーー
4,もうデ・ブライネほんとすき
5,やっぱデ・ブライネいないと始まらないわ
6,デ・ブライネもキレ戻ってきたからほんと嬉しい どうにかもう一点
7,今試合間隔あって後半も走れるからどうにかできてるけどこれから間隔詰まってきたらまた上手くいかなくなるんかな
8,例年なら怪我人戻ってきたりするし今年は冬に補強もしたから選手増えるしまた伸びるんじゃない 怪我人増えず新戦力が使える前提だけども
9,デ・ブライネさんもう2年くらい居てくれませんかね そしてギュンドアン来たか
10,ギュンドアン出して大丈夫かな怖いよ
11,やっぱコバチ下げるかーーー 今日も地道に守備してくれてたんだけどなー
12,またキターーー
13,フォーデンも復活キタ(゚゚)
14,追加点やったー 左ヴィーニョもフォーデンもナイス
15,ブレントフォードキラーフォーデン
16,そういや前回のアウェーではハット決めてたんだっけか
17,あーやられた
18,後10分粘ってよ
19,緩いなぁ
20,まーこんだけ振られたらキツイわ
21,サヴィーニョさんまたエゴ出てきてますよ
22,でも利き足で前空いたら打っちゃうと思うわ
23,サヴィーニョとかいうハーランド最大の敵
24,何回アシストしてくれたと思ってんだ
25,うわーーー
26,えー追いつかれるんかい
27,決められる時に決めないから
28,アケすごすぎ
29,アケとかいう神
30,まあここまで出来ただけでもマシになってきてるのかな お疲れ
31,もったいない試合だわ
32,しかしブレントフォードのカウンターは怖いね
33,勝てる試合だったけどなー 意味がわからん
34,サヴィーニョのエゴのせいで勝てなかった
35,でもサヴィーニョのエゴのおかげで2点目が入ったんだぞ
36,他に素直に出せばってのが2つくらいあったから ヌネスも切り替え狙わなければってのもあったし サッカーは難しい
37,最後のキープにコバチがいてくれたら てか日程的にも今日が一番体力あって割とメンバー揃ってたのに勝てないってもう4位も厳しいだろ
38,ここ最近歯車が噛み合わなくなってるな
39,年末の状態に比べればずっと良くなってると思う
40,20から追いつかれるとかシティのサッカーじゃねぇと思ったが CLでフェイエに30から追いつかれてたんだった
41,この流れクロップリバプールで見たわ 高齢化で細かいミス増えて後ろに膨大なスペースあるから突かれて永遠と負け続ける このサッカーしたいならスカッドの入れ替え必須だよ
42,ギュンドアン出さなければ逃げ切れたかもしれん 知らんけど
43,直接的には関わってないしなんならビッグチャンスも作ってたけどね これまでの怠慢プレーの数々で印象悪いのは仕方ないが
44,一回はいい感じのボール蹴ってたけど他はちゃんと緩かったぞ
45,最後の失点も疲れてるとは言えサヴィーニョが全然寄せてなかったし今日はギュンドアンのせいにするのは厳しいでしょ
1,ロマーノ カイル・ウォーカーはACミランの提案を聞くことになるだろう昨年の夏からサウジプロリーグのクラブも関心を示している ミランはもしマン・シティがウォーカーを今すぐ無料で移籍させれば移籍金にお金をかけずに済むと期待してウォーカーとの交渉に熱心だ
2,ウォーカーはきれいな形で送り出して欲しい ほんとそれだけはお願いしたい
3,ウォーカー出してRSB誰か取るん
4,クサノフとレイスを獲るならディフェンス陣は ルベンアカンジアケグヴァルディオルクサノフレイスリコだから アカンジレイスリコがRBじゃない
5,ストーンズもおるな ただリコ以外は全員本職CBやからな
6,ストーンズなんか頭数に入れられんし 本職って話ならLBだっていないんだからウォーカー抜けたところを補充するって意味合いの補強は必要なくね
7,ウォーカーはなぜに無料なんだろ
8,ウォーカーのこれまでの貢献へのリスペクトとして移籍金がウォーカーの希望の妨げにならないようにとの計らいらしい
9,そうだったのかありがとう なかなか粋な計らいだね FAたぶん次も勝てそうな相手で良かった
10,ウォーカー無料みたいなもんじゃないの 功労者に華道を飾ることで次からクラブを選ばれやすくなる 半年しか活躍してないのに高杉とか言ってたアホもおったが
11,ウォーカー来んのか
12,ラッシュにウォーカーか震えてくるな
13,ウォーカー冗談かと思ってたらガチなのか 補強ポイントそこなのか
14,まあシティが移籍金0にしたから来るんじゃないかなウォーカーも冬に出ていくと 表明してるし既にミランと契約合意と出てる 噂レベルじゃないよ( ・ω・)
15,ラッシュフォードみたいな選手はなんだかんだいっぱいいるけどウォーカーみたいな出物は滅多にないって感じかな 衰えが見えるが経験・実力って意味では理解できる ただ若干ボヌッチのときを思い出しちゃうんだよな
16,セリエに適応出来るかは置いといて守備陣にベテラン置くなら右サイドバックしかないのはあるな左サイドバックはテオいるのとヒメレス伸びてきてるから出場機会奪いたくないし センターバックは今はトモリ優先だがガッビアがある程度計算できるというか身体能力以外ならトモリより上に見る人もいるだろうし
17,ウォーカーさんのほうが先に決まりの雰囲気やね
18,イングランド人派閥ができてそれが良い影響をもたらすのかそうじゃないのか ラッシュフォードとか環境を変えたところでイングランド人同士でのみつるんだりとか夜の街でウェーイしそうで怖いわ あと家庭内のいざこざで単身赴任で来そうなウォーカーがそれに加わらんといいが
19,ウォーカーさんは妻と子供とイタリアに引っ越して夫婦関係を修復したいみたい
