URL,レス番号,内容
https://www.calciomatome.net/article/508941224.html,45,前にフィード蹴るタイプなのに パス成功数91%もあるやんけ
https://www.calciomatome.net/article/508941224.html,46,地上戦の数値低すぎる...
https://www.calciomatome.net/article/508941224.html,47,地上の対人が超苦手だが空中戦は超得意みたいだな
https://www.calciomatome.net/article/508941224.html,48,データの見方間違ってる。 パーセンタイルというのは全選手中で何パーセントかという順位で、13%になっているのは地上戦回数 地上戦は主に中盤で発生するので、CBは数値が低くなるという数字のマジックにすぎない。。 割合で確認してみれば69戦42勝だから勝率は60%強。 32試合やってドリブルで抜かれた回数4回だけなので、かなり硬いよ
https://www.calciomatome.net/article/508941224.html,49,ダニーロのプレー集見てフィードが既視感あるな~と思ったら航だわ 航のフィードを思い出した サヴィオ金子松尾と相性良さそう
https://www.calciomatome.net/article/508941224.html,50,ダニーロとれれば今冬全体で80点はあげられるかも +右SBで90点 +CFで100点
https://www.calciomatome.net/article/508941224.html,51,ダニーロボザのここ2年のプレー集とスタッツは申し分ないんだが 何故今まで頭角を出さなかったのか気になる ポルトガルで失敗してるし 大事なのは今だからいいんだけど ポカミス多い系なのかも
https://www.calciomatome.net/article/508941224.html,52,ダニーロボザのプレイ動画観たけどプレス受けてもかわせるし、ドリブルやワンツーでどんどん前に持っていけるね 日本ならこれくらい足元上手ければボランチで考えたくなるレベル、新潟とか鹿島に居たレオシルバのDF版って感じがする
https://www.calciomatome.net/article/508941224.html,53,ダニーロボザ、ブラジル一部でバリバリ稼働してるん?
https://www.calciomatome.net/article/508941224.html,54,全国選手権32試合だからほぼフル出場やろ たしかいまの全国選手権は20チームのH&A総当りで38試合だったはず
https://www.calciomatome.net/article/508941224.html,55,一部は今季からで主力 ただそれまでは二部みたいだな 今が登り始めなら良いな
https://www.calciomatome.net/article/508961761.html,1,勝ったー!!!
https://www.calciomatome.net/article/508961761.html,2,きつかったわ
https://www.calciomatome.net/article/508961761.html,3,結果がすべてや!!ナイス!
https://www.calciomatome.net/article/508961761.html,4,いよおおおおおおおおおおおし でかい1勝!
https://www.calciomatome.net/article/508961761.html,5,スケリーにMOTMをあげたい
https://www.calciomatome.net/article/508961761.html,6,ノースロンドンフォーエバー
https://www.calciomatome.net/article/508961761.html,7,よしよしよし ナイス逃げ切り 次も勝ってリバポ追うぞ。全然チャンスあるぜ
https://www.calciomatome.net/article/508961761.html,8,いよっしゃー!! 今のチーム状況でノーロン2タテは素晴らしい
https://www.calciomatome.net/article/508961761.html,9,チームとして一つキッカケになるダービーでしっかり逆転して勝ったんだからこっからだぞ、マジでチームのメンタルと自信を取り戻してくれ
https://www.calciomatome.net/article/508961761.html,10,よーしよし 次はヴィラかきっちー
https://www.calciomatome.net/article/508961761.html,11,スケリーが良すぎるなぁ カラフィオーリが復帰してもスタメンで見たいわ 交代時のパフォーマンスでさらに好きになった笑
https://www.calciomatome.net/article/508961761.html,12,お互いヘトヘト 内容なんかしらん結果が全て
https://www.calciomatome.net/article/508961761.html,13,勝てたから良かったけど、カイのところの層がな カイを休めさせられないのはきつい
https://www.calciomatome.net/article/508961761.html,14,正直5点は取れた試合だったけど勝って3pが重要 4バック特にガブリエルと両SBの強さが際立ってた
https://www.calciomatome.net/article/508961761.html,15,いやぁまず勝利おめでとう だけどみんなシュート下手になったわw シュート練習もっとやれw
https://www.calciomatome.net/article/508961761.html,16,サカホワイトウデゴの流動性のある右からの攻撃が恋しいわ マジではよ帰ってきてくれ
https://www.calciomatome.net/article/508961761.html,17,サカの次のスターボーイになる気がする 天性の身体の強さとバランスあるし
https://www.calciomatome.net/article/508961761.html,18,スケリーはそれに加えてボール持てるのがデカい プレッシャー受けても失わないキープ力 あれは普通のSBが持ってない能力だわ
https://www.calciomatome.net/article/508961761.html,19,元々アンカーだからね 身体能力も高いし現代のSBにピッタリだわ
https://www.calciomatome.net/article/508961761.html,20,アウェーのダービー4連勝って無敗の頃でもなかったぞ 2022年以降全部勝ち点3取ってる。ホームなら15年負けてないし
https://www.calciomatome.net/article/508961761.html,21,トッテナムは降格圏のほうが近いなw
https://www.calciomatome.net/article/508961761.html,22,ウデゴもカイも本当に戦ってるのはわかるから、フィニッシュもやり切って報われてほしい
https://www.calciomatome.net/article/508961761.html,23,控えいなくてボロボロだな前線 これ以上怪我人出さないためにも補強せんと それでなくてもシュート下手なやつばっかなのに 疲労で足元覚束無いし判断鈍ってるしでダメダメだ
https://www.calciomatome.net/article/508961761.html,24,次も中2日で試合かよ 選手殺す気やん、もっと試合間隔あけてやれよ
https://www.calciomatome.net/article/508961761.html,25,次どころか2月の頭までこのペースだ、12月の中旬あたりからずっと、マジで選手殺す気だよ
https://www.calciomatome.net/article/508961761.html,26,トッテナムも大概酷かったわ ベリヴァルが空けたスペースを埋める人いないし、ジョンソンは全部適当すぎて草生える
https://www.calciomatome.net/article/508961761.html,27,ヘロヘロのハヴァーツがまったく休めなくてどんどんコンディションが落ちる悪循環 ユースからあげて少しは休ませてくれ
https://www.calciomatome.net/article/508961761.html,28,カビアはカラバオ3回戦ですら微妙だったし、オイデジ、エドワースはトップチーム出場0 これじゃティアニーやチェンコをWGで使うのはしょうがない
https://www.calciomatome.net/article/508961761.html,29,下手したら本職じゃないドーマンがユースで1番まともな右ウィングだしね。
https://www.calciomatome.net/article/508961761.html,30,でもPLに出場できないんだよなあ規定で
https://www.calciomatome.net/article/508961761.html,31,ティアニー一個前はあくまで逃げ切り用の使い方だし きついな
https://www.calciomatome.net/article/508961761.html,32,ティアニーチェンコ使ってでもトロのプレータイム管理しなきゃいけない苦しい台所事情だったな 今日観にきてるんだろジョシュ。頼むぞ
https://www.calciomatome.net/article/508961761.html,33,カイは病み上がりから連戦で調子落ちまくり 判断最悪で頭回ってない
https://www.calciomatome.net/article/508961761.html,34,トロサールゴールは決めたけど 苦しすぎるなぁあんな簡単にボールロストしてたら ちょっとね。。。点決めたからすべておkとはさすがにならんかなぁ・・・
https://www.calciomatome.net/article/508961761.html,35,トロサールのゴールはスカッとしたけどロスト増えまくりでもうきついな
https://www.calciomatome.net/article/508961761.html,36,ハヴァーツはマジで休ませるタイミングないんだよな、ジェズス離脱までは休ませつつ使ってたけど病み上がりからフル稼働しないと回らない ヌワネリ復帰してもCFできる奴が根本的にいないからな、ワンチャンでネッリぐらいだけど収までって形は難しいしな
https://www.calciomatome.net/article/508961761.html,37,後半疲れてきたとき 相手陣地からのリスタートのプレスの掛け方あぶなかったわ 簡単に剥されてドリブルで運ばれてDFラインが曝されすぎた あれは修正してほしかったな
https://www.calciomatome.net/article/508961761.html,38,バックスは冬はもうこれ以上無いよ 前線はトロトップにしないとカイ休めないんだからな
https://www.calciomatome.net/article/508961761.html,39,ティアニーを干し続けてたのは正解だったんだろうかと思うプレーぶりだった
https://www.calciomatome.net/article/508961761.html,40,まあ怪我がね、、、
https://www.calciomatome.net/article/508961761.html,41,ライスのインタビューでもスケリーについてめっちゃ聞かれてるな笑
https://www.calciomatome.net/article/508961761.html,42,"April 2024: Tottenham 2-3 Arsenal - Man of the Match, Gabriel Magalhães. September 2024: Tottenham 0-1 Arsenal - Man of the Match, Gabriel Magalhães. January 2025: Arsenal 2-1 Tottenham - Man of the Match, Gabriel Magalhães. ノーロンの鬼マガリャン"
https://www.calciomatome.net/article/508961761.html,43,マルティネッリトロサールハヴァーツの並びの方がまだいいと思うけど ジェズスの右WGといいアルテタはしねぇんだよな マルティネッリは器用じゃないから本来の左にしてあげた方がいいし トロサールが1番キック上手いからゴールから遠ざけるより中の方がいいし ハヴァーツはファーストターゲットにするより後から飛び込ませてあげて欲しいし
https://www.calciomatome.net/article/508961761.html,44,マジでターンオーバー人員確保が急務過ぎる ホワイト冨はよ復活してくれ
https://www.calciomatome.net/article/508961761.html,45,ホワイト冨安はリハビリ最終段階って感じだけど まだフリトレ復帰には1週間は必要かなぁと
https://www.calciomatome.net/article/508961761.html,46,60分マルティネッリを休ませただけでもスターリングは価値がある選手 スペンス経由でビルドアップ出来ないのを見越してスタメンで出したアルテタの名采配だよ
https://www.calciomatome.net/article/508961761.html,47,スターリングは守備でサボることはなくなっていたからまだ使える あとはティンバーやウデゴとうまく連携できれば 正直単独突破はスペンス相手にもできなくなっていたから衰えかな
https://www.calciomatome.net/article/508961761.html,48,あと普通にスケリーは身体能力高いよな ユース時代はそれ故に身体がついて来れず怪我多かったけど
https://www.calciomatome.net/article/508961761.html,49,ヴィラ戦もスターリングスタートの途中でマルorトロだろうね 判断がちょくちょく気になる場面はあったけど頑張ってもらわねば ティンバー使い詰めなのが心配。冨安はよ帰ってきてくれ
https://www.calciomatome.net/article/508961761.html,50,それにしても鳴り物入りで獲得したカラフィオーリが怪我の間にスタメン獲得しそうなスケリーは ドビュッシーとベジェリンを思い出させる まぁカラフィオーリが腐る事にはならないだろうが
https://www.calciomatome.net/article/508961761.html,51,そこまで歳は離れてないけどね なんかのインタビューでベジェリンはスタメン争いやる気満々だったけどドビュッシーは大人な受け答えしてたのが記憶に残ってる
https://www.calciomatome.net/article/508961761.html,52,とりあえず1つ目の山場を越えられて良かった あとは補強がどうなるか
https://www.calciomatome.net/article/508950869.html,1,ユルゲン・クロップ氏がRB大宮アルディージャの今季開幕戦を現地観戦する見通しとなった。 ドルトムントでブンデスリーガ連覇やDFBポカール優勝、リヴァプールではプレミアリーグ優勝やチャンピオンズリーグ制覇も成し遂げたクロップ氏。昨季限りでリヴァプールを退団すると、レッドブル・グループのグローバルフットボール責任者に就任したことが先日に発表された。 今季にJ2に昇格した大宮との関わりも注目される中、レッドブル公式はクロップ氏が大宮の開幕節を現地観戦すると報告。フットボール本部長を務める原博実氏は『X』上での報告を引用し、「待ってますよ!」と投稿した。 大宮は2月15日に行われる明治安田J2リーグ第1節でモンテディオ山形をホームに迎える。
https://www.calciomatome.net/article/508950869.html,2,クロップだけ見に行きたい
https://www.calciomatome.net/article/508950869.html,3,ライプツィヒの試合にも来てたし仕事してるな シェシュコのゴラッソを生で見たの羨ましい
https://www.calciomatome.net/article/508950869.html,4,マイクパフォーマンスとかあるのかな
https://www.calciomatome.net/article/508950869.html,5,クロップ見れるなら関西からでも行きたい
https://www.calciomatome.net/article/508950869.html,6,スーパードライを飲みながら大宮ステーキ丼とウィンナー盛り合わせ、ナクスタカレーを頬張るクロップの姿が!
https://www.calciomatome.net/article/508950869.html,7,香川の試合も観に行こう
https://www.calciomatome.net/article/508950869.html,8,クロップのサインほしいな
https://www.calciomatome.net/article/508950869.html,9,初来日かな ドルが来日した時は監督もうトゥヘルに変わってたよね
https://www.calciomatome.net/article/508950869.html,10,日本代表監督になってほしいわぁ、、
https://www.calciomatome.net/article/508950869.html,11,試合が終わったらクロップを胴上げだー!
https://www.calciomatome.net/article/508950869.html,12,マジか ちょっとヤバ過ぎる
https://www.calciomatome.net/article/508950869.html,13,大宮はJリーグにおける黒船襲来でありこの外圧により全体が激震するだろう そしてそれははJリーグが文化として日本に根付く契機になるだろう
https://www.calciomatome.net/article/508950869.html,14,山形に勝ったら昇格ある そこまで甘くないと思うが
https://www.calciomatome.net/article/508950869.html,15,監督はもうやらないって断言してたな
https://www.calciomatome.net/article/508950869.html,16,疲れ果ててそんなこと言ってるんだろうけど、少し休んだらまた修羅場に戻りたくなるだろうね
https://www.calciomatome.net/article/508950869.html,17,もしも次に監督するならドイツ代表監督か、バルサかレアルしか選択肢もないしな 現実的なところだとドイツ代表くらいしかなさそう
https://www.calciomatome.net/article/508950869.html,18,J2に昇格したってことはもっと下だったの?
https://www.calciomatome.net/article/508950869.html,19,昨シーズンはJ3
https://www.calciomatome.net/article/508950869.html,20,クロップ来るのか...
https://www.calciomatome.net/article/508950869.html,21,クラブスタッフになるとかならビビるが 来場するだけじゃなあ
https://www.calciomatome.net/article/508950869.html,22,「日本のアンフィールドへようこそ」クロップ氏がJ2開幕戦を現地観戦へ!! レッドブル・ジャパンが15日に公式X(旧ツイッター/)を更新し、 ユルゲン・クロップ氏がレッドブル傘下となったRB大宮アルディージャのJ2開幕戦を現地観戦すると伝えた。
https://www.calciomatome.net/article/508950869.html,23,大宮nack5がリヴァプールアンフィールドなら浦和はエヴァートンで埼スタはグディソンかよ... そりゃそうなるよな...
https://www.calciomatome.net/article/508950869.html,24,あんな小さなスタジアムが日本のアンフィールドって
https://www.calciomatome.net/article/508950869.html,25,全然、大宮サポじゃないけどクロップみにナクスタ行こうかな、、、
https://www.calciomatome.net/article/508950869.html,26,ケンユーが見つかっちまうか
https://www.calciomatome.net/article/508950869.html,27,クロップもあの歩道もないような横ビュンビュン車が通るところ歩いてNACK5行くのか
https://www.calciomatome.net/article/508950869.html,28,ピッチに降りて軽く挨拶と、拳突き上げイエアイエアイエアしてほしいよな 大宮サポができるか微妙だけど
https://www.calciomatome.net/article/508950869.html,29,なんでクロップが大宮駅から徒歩でNACK5スタジアム行くんだよw
https://www.calciomatome.net/article/508950869.html,30,蒙古タンメン食ってナック5の傾斜で転がってマンキツするだろクロップも
https://www.calciomatome.net/article/508935696.html,1,フォーデンきたー
https://www.calciomatome.net/article/508935696.html,2,きたあああああああああああ
https://www.calciomatome.net/article/508935696.html,3,フォーデンやったーーーーー!!!
https://www.calciomatome.net/article/508935696.html,4,もうデ・ブライネほんとすき
https://www.calciomatome.net/article/508935696.html,5,やっぱデ・ブライネいないと始まらないわ
https://www.calciomatome.net/article/508935696.html,6,デ・ブライネもキレ戻ってきたからほんと嬉しい どうにかもう一点!
https://www.calciomatome.net/article/508935696.html,7,今試合間隔あって後半も走れるからどうにかできてるけどこれから間隔詰まってきたらまた上手くいかなくなるんかな
https://www.calciomatome.net/article/508935696.html,8,例年なら怪我人戻ってきたりするし、今年は冬に補強もしたから選手増えるしまた伸びるんじゃない 怪我人増えず、新戦力が使える前提だけども
https://www.calciomatome.net/article/508935696.html,9,デ・ブライネさん、もう2年くらい居てくれませんかね そしてギュンドアン来たか、、、
https://www.calciomatome.net/article/508935696.html,10,ギュンドアン出して大丈夫かな怖いよ
https://www.calciomatome.net/article/508935696.html,11,やっぱコバチ下げるかーーー 今日も地道に守備してくれてたんだけどなー
https://www.calciomatome.net/article/508935696.html,12,またキターーー!!!
https://www.calciomatome.net/article/508935696.html,13,フォーデンも復活キタ━━━━\(゚∀゚\)━━━━!!
https://www.calciomatome.net/article/508935696.html,14,追加点やったー 左ヴィーニョもフォーデンもナイス
https://www.calciomatome.net/article/508935696.html,15,ブレントフォードキラーフォーデン
https://www.calciomatome.net/article/508935696.html,16,そういや前回のアウェーではハット決めてたんだっけか
https://www.calciomatome.net/article/508935696.html,17,あーやられた
https://www.calciomatome.net/article/508935696.html,18,後10分粘ってよ、、、
https://www.calciomatome.net/article/508935696.html,19,緩いなぁ
https://www.calciomatome.net/article/508935696.html,20,まーこんだけ振られたらキツイわ
https://www.calciomatome.net/article/508935696.html,21,サヴィーニョさん、またエゴ出てきてますよ
https://www.calciomatome.net/article/508935696.html,22,でも利き足で前空いたら打っちゃうと思うわ
https://www.calciomatome.net/article/508935696.html,23,サヴィーニョとかいうハーランド最大の敵
https://www.calciomatome.net/article/508935696.html,24,何回アシストしてくれたと思ってんだ
https://www.calciomatome.net/article/508935696.html,25,うわーーー
https://www.calciomatome.net/article/508935696.html,26,えー追いつかれるんかい
https://www.calciomatome.net/article/508935696.html,27,決められる時に決めないから
https://www.calciomatome.net/article/508935696.html,28,アケすごすぎ
https://www.calciomatome.net/article/508935696.html,29,アケとかいう神
https://www.calciomatome.net/article/508935696.html,30,まあここまで出来ただけでもマシになってきてるのかな お疲れ
https://www.calciomatome.net/article/508935696.html,31,もったいない試合だわ
https://www.calciomatome.net/article/508935696.html,32,しかしブレントフォードのカウンターは怖いね
https://www.calciomatome.net/article/508935696.html,33,勝てる試合だったけどなー 意味がわからん
https://www.calciomatome.net/article/508935696.html,34,サヴィーニョのエゴのせいで勝てなかった
https://www.calciomatome.net/article/508935696.html,35,でもサヴィーニョのエゴのおかげで2点目が入ったんだぞ
https://www.calciomatome.net/article/508935696.html,36,他に素直に出せばってのが2つくらいあったから ヌネスも切り替え狙わなければ、、、ってのもあったし サッカーは難しい
https://www.calciomatome.net/article/508935696.html,37,最後のキープにコバチがいてくれたら てか日程的にも今日が一番体力あって割とメンバー揃ってたのに勝てないってもう4位も厳しいだろ
https://www.calciomatome.net/article/508935696.html,38,ここ最近歯車が噛み合わなくなってるな
https://www.calciomatome.net/article/508935696.html,39,年末の状態に比べればずっと良くなってると思う
https://www.calciomatome.net/article/508935696.html,40,2-0から追いつかれるとかシティのサッカーじゃねぇと思ったが CLでフェイエに3-0から追いつかれてたんだった
https://www.calciomatome.net/article/508935696.html,41,この流れクロップリバプールで見たわ 高齢化で細かいミス増えて後ろに膨大なスペースあるから突かれて永遠と負け続ける このサッカーしたいならスカッドの入れ替え必須だよ
https://www.calciomatome.net/article/508935696.html,42,ギュンドアン出さなければ逃げ切れたかもしれん 知らんけど
https://www.calciomatome.net/article/508935696.html,43,直接的には関わってないしなんならビッグチャンスも作ってたけどね これまでの怠慢プレーの数々で印象悪いのは仕方ないが
https://www.calciomatome.net/article/508935696.html,44,一回はいい感じのボール蹴ってたけど他はちゃんと緩かったぞ
https://www.calciomatome.net/article/508935696.html,45,最後の失点も疲れてるとは言えサヴィーニョが全然寄せてなかったし今日はギュンドアンのせいにするのは厳しいでしょ
https://www.calciomatome.net/article/508837135.html,1,ロマーノ カイル・ウォーカーはACミランの提案を聞くことになるだろう。昨年の夏からサウジプロリーグのクラブも関心を示している。 ミランは、もしマン・シティがウォーカーを今すぐ無料で移籍させれば、移籍金にお金をかけずに済むと期待して、ウォーカーとの交渉に熱心だ。
https://www.calciomatome.net/article/508837135.html,2,ウォーカーはきれいな形で送り出して欲しい ほんとそれだけはお願いしたい
https://www.calciomatome.net/article/508837135.html,3,ウォーカー出してRSB誰か取るん
https://www.calciomatome.net/article/508837135.html,4,クサノフとレイスを獲るならディフェンス陣は ルベン、アカンジ、アケ、グヴァルディオル、クサノフ、レイス、リコだから アカンジ、レイス、リコがRBじゃない?
https://www.calciomatome.net/article/508837135.html,5,ストーンズもおるな ただリコ以外は全員本職CBやからな
https://www.calciomatome.net/article/508837135.html,6,ストーンズなんか頭数に入れられんし 本職って話ならLBだっていないんだからウォーカー抜けたところを補充するって意味合いの補強は必要なくね?
https://www.calciomatome.net/article/508837135.html,7,ウォーカーはなぜに無料なんだろ
https://www.calciomatome.net/article/508837135.html,8,ウォーカーのこれまでの貢献へのリスペクトとして移籍金がウォーカーの希望の妨げにならないようにとの計らいらしい
https://www.calciomatome.net/article/508837135.html,9,そうだったのかありがとう なかなか粋な計らいだね FAたぶん次も勝てそうな相手で良かった
https://www.calciomatome.net/article/508837135.html,10,ウォーカー無料みたいなもんじゃないの 功労者に華道を飾ることで次からクラブを選ばれやすくなる 半年しか活躍してないのに高杉とか言ってたアホもおったが
https://www.calciomatome.net/article/508837135.html,11,ウォーカー来んのか
https://www.calciomatome.net/article/508837135.html,12,ラッシュにウォーカーか震えてくるな
https://www.calciomatome.net/article/508837135.html,13,ウォーカー冗談かと思ってたらガチなのか? 補強ポイントそこなのか?
https://www.calciomatome.net/article/508837135.html,14,まあシティが移籍金0にしたから来るんじゃないかなウォーカーも冬に出ていくと 表明してるし既にミランと契約合意と出てる 噂レベルじゃないよ( ́・ω・`)
https://www.calciomatome.net/article/508837135.html,15,ラッシュフォードみたいな選手はなんだかんだいっぱいいるけどウォーカーみたいな出物は滅多にないって感じかな 衰えが見えるが経験・実力って意味では理解できる ただ若干ボヌッチのときを思い出しちゃうんだよな......
https://www.calciomatome.net/article/508837135.html,16,セリエに適応出来るか?は置いといて守備陣にベテラン置くなら右サイドバックしかないのはあるな左サイドバックはテオいるのとヒメレス伸びてきてるから出場機会奪いたくないし センターバックは今はトモリ優先だがガッビアがある程度計算できるというか身体能力以外ならトモリより上に見る人もいるだろうし
https://www.calciomatome.net/article/508837135.html,17,ウォーカーさんのほうが先に決まりの雰囲気やね
https://www.calciomatome.net/article/508837135.html,18,イングランド人派閥ができてそれが良い影響をもたらすのかそうじゃないのか ラッシュフォードとか環境を変えたところでイングランド人同士でのみつるんだりとか夜の街でウェーイしそうで怖いわ あと家庭内のいざこざで単身赴任で来そうなウォーカーがそれに加わらんといいが...
https://www.calciomatome.net/article/508837135.html,19,ウォーカーさんは妻と子供とイタリアに引っ越して夫婦関係を修復したいみたい
